Logger, TechAgentLk:         	Automatically truncated logfile to 1048576, MadelineProto 8.6.0
Files, TechAgentLk:          	Download status: 4.0183112919634%
Files, TechAgentLk:          	Partial download time: 305.3143529892
Files, TechAgentLk:          	Partial download speed: 2.170549 mbps
Files, TechAgentLk:          	Download status: 2.7975584944049%
Files, TechAgentLk:          	Partial download time: 215.1099190712
Files, TechAgentLk:          	Partial download speed: 2.139951 mbps
Files, TechAgentLk:          	Download status: 95.714285714286%
Files, TechAgentLk:          	Partial download time: 243.14382386208
Files, TechAgentLk:          	Partial download speed: 2.31154 mbps
Files, TechAgentLk:          	Download status: 3.4587995930824%
Files, TechAgentLk:          	Download status: 4.0691759918616%
Files, TechAgentLk:          	Download status: 3.5096642929807%
Files, TechAgentLk:          	Partial download time: 255.51436305046
Files, TechAgentLk:          	Partial download speed: 2.265289 mbps
Files, TechAgentLk:          	Download status: 4.1709053916582%
Files, TechAgentLk:          	Download status: 2.8484231943032%
Files, TechAgentLk:          	Download status: 4.1200406917599%
Files, TechAgentLk:          	Partial download time: 320.008893013
Files, TechAgentLk:          	Partial download speed: 2.123307 mbps
Files, TechAgentLk:          	Download status: 2.8992878942014%
Files, TechAgentLk:          	Partial download time: 229.80748105049
Files, TechAgentLk:          	Partial download speed: 2.076094 mbps
Files, TechAgentLk:          	Download status: 97.142857142857%
Files, TechAgentLk:          	Download status: 4.2217700915565%
Files, TechAgentLk:          	Partial download time: 312.62989616394
Files, TechAgentLk:          	Partial download speed: 2.227088 mbps
Files, TechAgentLk:          	Download status: 3.5605289928789%
Files, TechAgentLk:          	Download status: 98.571428571429%
Files, TechAgentLk:          	Partial download time: 258.06884884834
Files, TechAgentLk:          	Partial download speed: 2.242866 mbps
Files, TechAgentLk:          	Download status: 4.1709053916582%
Files, TechAgentLk:          	Download status: 3.6113936927772%
Files, TechAgentLk:          	Partial download time: 270.41815185547
Files, TechAgentLk:          	Partial download speed: 2.202482 mbps
Files, TechAgentLk:          	Download status: 4.2726347914547%
Files, TechAgentLk:          	Download status: 2.9501525940997%
Files, TechAgentLk:          	Download status: 3.001017293998%
Files, TechAgentLk:          	Partial download time: 230.36357593536
Files, TechAgentLk:          	Partial download speed: 2.143912 mbps
Files, TechAgentLk:          	Download status: 4.2217700915565%
Files, TechAgentLk:          	Partial download time: 320.56979203224
Files, TechAgentLk:          	Partial download speed: 2.171927 mbps
Files, TechAgentLk:          	Download status: 100%
Files, TechAgentLk:          	Total download time: 258.33244895935
Files, TechAgentLk:          	Total download speed: 2.254427 mbps
ClientAbstract, TechAgentLk: 	Disconnected from IPC server!
Files, TechAgentLk:          	Download status: 3.6622583926755%
Files, TechAgentLk:          	Download status: 4.323499491353%
Files, TechAgentLk:          	Partial download time: 313.13580417633
Files, TechAgentLk:          	Partial download speed: 2.277068 mbps
Files, TechAgentLk:          	Download status: 3.7131230925738%
Files, TechAgentLk:          	Partial download time: 270.76504087448
Files, TechAgentLk:          	Partial download speed: 2.261622 mbps
Files, TechAgentLk:          	Download status: 4.2726347914547%
Files, TechAgentLk:          	Download status: 4.3743641912513%
Files, TechAgentLk:          	Download status: 3.0518819938962%
Files, TechAgentLk:          	Download status: 4.323499491353%
Files, TechAgentLk:          	Partial download time: 320.91373610497
Files, TechAgentLk:          	Partial download speed: 2.221879 mbps
Files, TechAgentLk:          	Download status: 3.1027466937945%
Files, TechAgentLk:          	Partial download time: 230.82116794586
Files, TechAgentLk:          	Partial download speed: 2.212346 mbps
Files, TechAgentLk:          	Download status: 4.1709053916582%
Files, TechAgentLk:          	Download status: 3.763987792472%
Files, TechAgentLk:          	Download status: 4.2217700915565%
Files, TechAgentLk:          	Partial download time: 292.67713308334
Files, TechAgentLk:          	Partial download speed: 2.378916 mbps
Files, TechAgentLk:          	Download status: 4.3743641912513%
Files, TechAgentLk:          	Download status: 3.8148524923703%
Files, TechAgentLk:          	Partial download time: 271.23658704758
Files, TechAgentLk:          	Partial download speed: 2.319545 mbps
Files, TechAgentLk:          	Download status: 4.4252288911495%
Files, TechAgentLk:          	Partial download time: 313.70120716095
Files, TechAgentLk:          	Partial download speed: 2.326445 mbps
Files, TechAgentLk:          	Download status: 3.1536113936928%
Files, TechAgentLk:          	Download status: 4.4760935910478%
SessionPaths, TechAgentLk:   	Waiting for exclusive lock of /home/sinhbtve/public_html/tg/session.madeline/safe.php.lock...
SessionPaths, TechAgentLk:   	Got exclusive lock of /home/sinhbtve/public_html/tg/session.madeline/safe.php.lock...
SessionPaths, TechAgentLk:   	Waiting for exclusive lock of /home/sinhbtve/public_html/tg/session.madeline/lightState.php.lock...
SessionPaths, TechAgentLk:   	Got exclusive lock of /home/sinhbtve/public_html/tg/session.madeline/lightState.php.lock...
APIWrapper, TechAgentLk:     	Saved session!
Files, TechAgentLk:          	Download status: 4.5269582909461%
Files, TechAgentLk:          	Partial download time: 328.42856502533
Files, TechAgentLk:          	Partial download speed: 2.273206 mbps
Files, TechAgentLk:          	Download status: 4.5778229908444%
Files, TechAgentLk:          	Download status: 4.6286876907426%
Files, TechAgentLk:          	Partial download time: 328.77610421181
Files, TechAgentLk:          	Partial download speed: 2.321833 mbps
Files, TechAgentLk:          	Download status: 4.6795523906409%
Files, TechAgentLk:          	Download status: 4.4252288911495%
Files, TechAgentLk:          	Partial download time: 336.66767215729
Files, TechAgentLk:          	Partial download speed: 2.167742 mbps
Files, TechAgentLk:          	Download status: 4.4760935910478%
Files, TechAgentLk:          	Download status: 3.8657171922686%
Files, TechAgentLk:          	Download status: 3.9165818921668%
Files, TechAgentLk:          	Partial download time: 286.71731686592
Files, TechAgentLk:          	Partial download speed: 2.252821 mbps
Files, TechAgentLk:          	Download status: 3.204476093591%
Files, TechAgentLk:          	Partial download time: 246.51244616508
Files, TechAgentLk:          	Partial download speed: 2.139582 mbps
Files, TechAgentLk:          	Download status: 3.2553407934893%
Files, TechAgentLk:          	Download status: 4.2726347914547%
Files, TechAgentLk:          	Download status: 4.7304170905392%
Files, TechAgentLk:          	Partial download time: 329.26829910278
Files, TechAgentLk:          	Partial download speed: 2.369315 mbps
Files, TechAgentLk:          	Download status: 4.323499491353%
Files, TechAgentLk:          	Partial download time: 308.39839911461
Files, TechAgentLk:          	Partial download speed: 2.312047 mbps
Files, TechAgentLk:          	Download status: 4.7812817904374%
Files, TechAgentLk:          	Download status: 4.5269582909461%
Files, TechAgentLk:          	Partial download time: 337.11055207253
Files, TechAgentLk:          	Partial download speed: 2.214662 mbps
Files, TechAgentLk:          	Download status: 4.5778229908444%
Files, TechAgentLk:          	Download status: 3.9674465920651%
Files, TechAgentLk:          	Download status: 4.0183112919634%
Files, TechAgentLk:          	Partial download time: 287.25382804871
Files, TechAgentLk:          	Partial download speed: 2.307018 mbps
Files, TechAgentLk:          	Download status: 3.3062054933876%
Files, TechAgentLk:          	Partial download time: 247.05269694328
Files, TechAgentLk:          	Partial download speed: 2.202813 mbps
Files, TechAgentLk:          	Download status: 3.3570701932859%
Files, TechAgentLk:          	Download status: 4.3743641912513%
Files, TechAgentLk:          	Download status: 4.8321464903357%
Files, TechAgentLk:          	Partial download time: 329.82239699364
Files, TechAgentLk:          	Partial download speed: 2.416202 mbps
Files, TechAgentLk:          	Download status: 4.4252288911495%
Files, TechAgentLk:          	Partial download time: 308.95276093483
Files, TechAgentLk:          	Partial download speed: 2.362202 mbps
Files, TechAgentLk:          	Download status: 4.6286876907426%
Files, TechAgentLk:          	Partial download time: 337.58972001076
Files, TechAgentLk:          	Partial download speed: 2.261216 mbps
Files, TechAgentLk:          	Download status: 4.883011190234%
Files, TechAgentLk:          	Download status: 4.6795523906409%
Files, TechAgentLk:          	Download status: 4.4760935910478%
Files, TechAgentLk:          	Download status: 3.4079348931841%
Files, TechAgentLk:          	Partial download time: 247.44752502441
Files, TechAgentLk:          	Partial download speed: 2.267099 mbps
Files, TechAgentLk:          	Download status: 3.4587995930824%
ClientAbstract, TechAgentLk: 	Disconnected from IPC server!
ClientAbstract, TechAgentLk: 	Disconnected from IPC server!
ClientAbstract, TechAgentLk: 	Disconnected from IPC server!
ClientAbstract, TechAgentLk: 	Disconnected from IPC server!
ClientAbstract, TechAgentLk: 	Disconnected from IPC server!
AbstractServer, TechAgentLk: 	Got error while calling IPC method: Amp\Ipc\Sync\ChannelException: The channel was already closed! in phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/danog/ipc/lib/Sync/ChannelledSocket.php:39
Stack trace:
#0 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/danog/madelineproto/src/Ipc/ClientAbstract.php(174): Amp\Ipc\Sync\ChannelledSocket->send()
#1 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/danog/madelineproto/src/Ipc/Wrapper.php(221): danog\MadelineProto\Ipc\ClientAbstract->__call()
#2 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/danog/madelineproto/src/MTProtoTools/Files.php(1298): danog\MadelineProto\Ipc\Wrapper->{closure:danog\MadelineProto\Ipc\Wrapper::unwrap():221}()
#3 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/amphp/amp/src/functions.php(33): danog\MadelineProto\MTProto->downloadPart()
#4 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(430): {closure:Amp\async():23}()
#5 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(621): Revolt\EventLoop\Internal\AbstractDriver->invokeMicrotasks()
#6 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->{closure:Revolt\EventLoop\Internal\AbstractDriver::createCallbackFiber():565}()
#7 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/DriverSuspension.php(64): Fiber->resume()
#8 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(430): Revolt\EventLoop\Internal\DriverSuspension::{closure:Revolt\EventLoop\Internal\DriverSuspension::resume():61}()
#9 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(621): Revolt\EventLoop\Internal\AbstractDriver->invokeMicrotasks()
#10 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->{closure:Revolt\EventLoop\Internal\AbstractDriver::createCallbackFiber():565}()
#11 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(502): Fiber->resume()
#12 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(558): Revolt\EventLoop\Internal\AbstractDriver->invokeCallbacks()
#13 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->{closure:Revolt\EventLoop\Internal\AbstractDriver::createLoopFiber():538}()
#14 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(96): Fiber->resume()
#15 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/DriverSuspension.php(117): Revolt\EventLoop\Internal\AbstractDriver->{closure:Revolt\EventLoop\Internal\AbstractDriver::__construct():90}()
#16 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/amphp/amp/src/Future.php(251): Revolt\EventLoop\Internal\DriverSuspension->suspend()
#17 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/danog/madelineproto/src/Ipc/AbstractServer.php(177): Amp\Future->await()
#18 /tmp/madeline-ipc-8.6.0___4310934de7e256d79075.php(119): danog\MadelineProto\Ipc\AbstractServer::waitShutdown()
#19 /tmp/madeline-ipc-8.6.0___4310934de7e256d79075.php(154): {closure:/tmp/madeline-ipc-8.6.0___4310934de7e256d79075.php:35}()
#20 {main}
AbstractServer, TechAgentLk: 	Got error while trying to send result of downloadToCallable: Amp\Ipc\Sync\ChannelException: The channel was already closed! in phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/danog/ipc/lib/Sync/ChannelledSocket.php:39
Stack trace:
#0 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/danog/madelineproto/src/Ipc/AbstractServer.php(275): Amp\Ipc\Sync\ChannelledSocket->send()
#1 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(430): danog\MadelineProto\Ipc\AbstractServer->clientRequest()
#2 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(621): Revolt\EventLoop\Internal\AbstractDriver->invokeMicrotasks()
#3 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->{closure:Revolt\EventLoop\Internal\AbstractDriver::createCallbackFiber():565}()
#4 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/DriverSuspension.php(171): Fiber->throw()
#5 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(430): Revolt\EventLoop\Internal\DriverSuspension::{closure:Revolt\EventLoop\Internal\DriverSuspension::throw():168}()
#6 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(567): Revolt\EventLoop\Internal\AbstractDriver->invokeMicrotasks()
#7 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->{closure:Revolt\EventLoop\Internal\AbstractDriver::createCallbackFiber():565}()
#8 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/DriverSuspension.php(171): Fiber->throw()
#9 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(430): Revolt\EventLoop\Internal\DriverSuspension::{closure:Revolt\EventLoop\Internal\DriverSuspension::throw():168}()
#10 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(621): Revolt\EventLoop\Internal\AbstractDriver->invokeMicrotasks()
#11 [internal function]: Revolt\EventLoop\Internal\AbstractDriver->{closure:Revolt\EventLoop\Internal\AbstractDriver::createCallbackFiber():565}()
#12 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/DriverSuspension.php(64): Fiber->resume()
#13 phar:///home/sinhbtve/public_html/tg/madeline.phar/vendor/revolt/event-loop/src/EventLoop/Internal/AbstractDriver.php(430): Revolt\EventLoop\Internal\DriverSuspension::{closure:Revolt\EventLoop\Internal\DriverSuspension::resume():61}()
